,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,10,16,.385,-4.00,2.53,2,12,,,,,1981,2085,,,99.9,.411,.433,.487,50.6,44.7,10.5,7.1,.438,15.6,37.1,.288
2,Akron,27,18,9,.667,5.15,1.11,12,6,,,,,2031,1905,,,107.5,.462,.293,.556,48.2,57.1,11.5,6.3,.505,16.6,33.2,.347
3,Alabama-Birmingham NCAA,32,20,12,.625,8.87,5.40,10,6,,,,,2368,2257,,,101.2,.392,.254,.528,51.4,54.4,12.5,7.1,.494,19.6,37.7,.266
4,Alabama State,27,11,16,.407,-15.31,-9.83,8,8,,,,,1815,1891,,,94.0,.470,.265,.496,52.0,47.8,12.6,5.7,.455,22.2,40.1,.303
5,Alabama,32,17,15,.531,5.73,6.66,6,10,,,,,2144,2174,,,96.9,.346,.221,.509,51.1,49.0,10.5,9.4,.469,20.3,37.9,.246
6,Alcorn State NCAA,30,23,7,.767,-2.88,-10.48,14,2,,,,,2274,2007,,,99.4,.406,.303,.501,54.7,50.8,14.4,9.7,.467,20.3,43.4,.261
7,American,28,7,21,.250,-8.95,-1.60,2,14,,,,,1805,1951,,,89.1,.334,.236,.460,52.7,48.6,11.6,8.8,.427,21.1,39.5,.213
8,Appalachian State,29,21,8,.724,-0.48,-5.32,13,3,,,,,2168,1916,,,103.4,.430,.223,.542,52.1,59.9,14.6,9.1,.508,18.6,35.9,.288
9,Arizona State,30,14,16,.467,9.04,8.25,6,12,,,,,2236,2167,,,101.8,.356,.292,.525,51.3,63.7,11.3,6.5,.490,17.8,34.6,.248
10,Arizona NCAA,29,22,7,.759,15.28,8.31,13,5,,,,,2383,2181,,,108.6,.482,.233,.553,55.4,51.1,9.7,7.6,.508,18.4,42.7,.342
11,Little Rock,27,12,15,.444,-7.74,-2.94,5,9,,,,,1790,1904,,,102.4,.333,.329,.556,48.8,52.9,7.3,6.0,.528,19.5,30.9,.230
12,Arkansas-Pine Bluff,27,3,24,.111,-27.20,-8.07,1,15,,,,,1891,2313,,,85.6,.288,.249,.452,45.2,47.7,11.1,7.0,.429,18.8,32.2,.170
13,Arkansas State NCAA,30,18,12,.600,3.31,-0.72,9,5,,,,,2206,2061,,,102.7,.375,.279,.536,48.3,56.0,12.3,8.5,.502,17.9,33.6,.258
14,Arkansas NCAA,34,23,11,.676,12.83,6.01,9,7,,,,,2675,2443,,73.5,106.7,.286,.366,.534,48.0,57.4,13.2,10.9,.511,16.5,36.2,.190
15,Army,27,8,19,.296,-22.35,-6.51,4,8,,,,,1615,1968,,,83.9,.327,.283,.479,44.2,53.3,10.8,6.1,.436,22.2,26.4,.234
16,Auburn NCAA,33,29,4,.879,24.54,4.93,14,2,,,,,2680,2033,,72.2,112.5,.341,.299,.514,55.8,47.3,13.7,9.1,.486,14.0,46.2,.222
17,Austin Peay,27,11,16,.407,-7.86,-4.94,9,9,,,,,1959,2037,,,102.9,.360,.317,.541,51.0,52.0,9.8,8.9,.514,19.8,37.0,.239
18,Ball State,27,16,11,.593,1.57,1.38,10,8,,,,,1798,1760,,,97.1,.377,.280,.493,49.8,50.6,11.3,7.6,.457,17.1,33.8,.246
19,Baylor,30,6,24,.200,-5.64,3.46,0,16,,,,,1846,2107,,,87.4,.353,.332,.464,48.8,47.8,10.3,9.2,.426,20.7,33.2,.232
20,Bethune-Cookman,27,11,16,.407,-12.37,-9.08,10,9,,,,,1791,1879,,,94.5,.417,.254,.519,47.8,57.6,11.3,6.5,.477,21.0,31.6,.289
21,Boise State,29,21,8,.724,2.86,-3.25,12,4,,,,,1987,1790,,,102.6,.430,.317,.558,50.3,56.7,14.3,9.6,.520,20.9,36.1,.305
