,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Duke,ACC,,24,3,85.5,66.9,18.59,,11.58,,20.41,9.77,30.17,123.58,82.33,41.25
2,Gonzaga,WCC,,27,2,90.7,65.2,25.45,,4.62,,20.89,9.18,30.07,127.77,86.19,41.58
3,Virginia,ACC,,24,2,71.5,54.5,17.00,,9.18,,3.79,22.39,26.18,122.78,82.26,40.52
4,Michigan State,Big Ten,,23,5,80.1,65.8,14.36,,11.19,,14.39,11.16,25.55,122.46,85.59,36.86
5,North Carolina,ACC,,22,5,87.1,72.7,14.41,,11.03,,20.84,4.60,25.44,120.20,86.52,33.68
6,Kentucky,SEC,,23,4,78.3,64.9,13.37,,9.43,,9.78,13.03,22.81,120.44,86.90,33.54
7,Tennessee,SEC,,24,3,83.6,68.0,15.63,,8.14,,15.05,7.59,22.64,123.19,91.21,31.98
8,Texas Tech,Big 12,,22,5,72.2,57.3,14.89,,6.80,,4.22,17.46,21.68,113.74,81.53,32.21
9,Michigan,Big Ten,,24,4,70.3,58.4,11.96,,9.27,,4.16,17.07,21.23,114.58,82.90,31.68
10,Purdue,Big Ten,,20,7,76.6,67.6,8.93,,11.97,,11.71,9.18,20.89,122.34,91.80,30.54
11,Auburn,SEC,,18,9,80.5,67.9,12.63,,9.23,,12.53,7.85,20.38,117.92,89.69,28.24
12,Virginia Tech,ACC,,21,6,74.4,61.1,13.26,,6.31,,6.65,12.92,19.57,119.59,90.04,29.55
13,Wisconsin,Big Ten,,19,8,69.9,61.3,8.59,,10.54,,3.37,15.76,19.13,114.62,86.30,28.32
14,Iowa State,Big 12,,19,8,78.3,67.2,11.07,,7.83,,10.71,8.20,18.91,119.20,91.75,27.46
15,Louisville,ACC,,18,10,75.5,67.9,7.54,,11.19,,8.98,9.75,18.73,115.99,89.44,26.55
16,Kansas,Big 12,,20,7,76.4,70.6,5.74,,12.84,,11.51,7.08,18.58,115.66,89.62,26.04
17,Nevada,MWC,,25,2,81.2,65.9,15.30,,2.55,,9.92,7.92,17.84,114.86,89.96,24.89
18,Florida State,ACC,,21,6,76.5,67.9,8.67,,8.91,,9.63,7.95,17.57,113.61,88.93,24.67
19,Houston,AAC,,26,1,75.2,60.3,14.93,,2.65,,4.95,12.62,17.57,114.36,88.52,25.84
20,Maryland,Big Ten,,21,7,72.5,64.5,8.00,,9.57,,6.66,10.91,17.57,115.09,89.59,25.50
21,Marquette,Big East,,23,4,78.9,68.6,10.30,,6.85,,10.43,6.72,17.14,115.00,90.93,24.07
22,Louisiana State,SEC,,22,5,82.7,74.1,8.59,,8.37,,15.01,1.95,16.96,118.70,94.60,24.10
23,North Carolina State,ACC,,20,8,82.3,71.3,11.00,,5.88,,14.61,2.27,16.88,115.77,93.10,22.67
24,Nebraska,Big Ten,,15,13,71.9,64.5,7.43,,10.52,,6.00,10.70,16.70,113.92,90.68,23.24
25,Iowa,Big Ten,,21,6,80.4,72.6,7.78,,8.72,,13.58,2.91,16.49,120.77,97.37,23.40
26,Mississippi State,SEC,,20,7,78.0,70.2,7.81,,8.65,,9.93,6.54,16.46,117.22,93.52,23.70
27,Buffalo,MAC (East),,24,3,85.7,70.9,14.85,,2.11,,15.48,0.74,16.22,114.62,92.76,21.87
28,Texas,Big 12,,15,12,71.5,66.2,5.33,,10.79,,5.10,11.02,16.12,114.88,91.09,23.80
29,Florida,SEC,,16,11,68.7,63.5,5.22,,10.59,,1.04,14.78,15.81,110.59,87.52,23.07
30,Oklahoma,Big 12,,17,10,71.1,67.3,3.78,,11.82,,6.70,8.89,15.59,109.84,88.09,21.75
31,Ohio State,Big Ten,,17,10,70.0,64.3,5.74,,9.82,,2.87,12.69,15.56,111.32,88.99,22.33
32,Cincinnati,AAC,,23,4,73.1,61.5,11.63,,3.70,,2.89,12.44,15.33,113.90,91.26,22.64
33,Kansas State,Big 12,,21,6,66.5,59.3,7.19,,8.01,,-1.29,16.48,15.20,108.47,85.85,22.62
34,Villanova,Big East,,20,8,74.9,67.4,7.54,,7.43,,5.38,9.58,14.97,117.89,96.14,21.76
35,Syracuse,ACC,,18,9,69.8,64.1,5.63,,9.22,,2.33,12.52,14.85,110.22,88.04,22.18
36,Texas Christian,Big 12,,18,9,75.1,69.3,5.78,,8.74,,8.37,6.15,14.52,113.25,93.14,20.11
37,Clemson,ACC,,16,11,69.6,64.3,5.26,,9.11,,2.56,11.82,14.37,110.18,89.07,21.11
38,Indiana,Big Ten,,13,14,70.2,67.0,3.22,,10.67,,3.68,10.22,13.90,108.90,89.49,19.41
39,Baylor,Big 12,,18,9,72.2,65.7,6.52,,7.24,,4.53,9.23,13.76,114.17,93.79,20.38
40,Washington,Pac-12,,22,5,71.1,63.6,7.48,,6.27,,1.71,12.05,13.76,108.66,88.47,20.19
41,Mississippi,SEC,,19,8,76.4,70.2,6.22,,7.12,,7.93,5.41,13.34,112.66,93.29,19.37
42,Wofford,Southern,,24,4,83.0,65.9,17.11,,0.71,,7.96,5.35,13.31,119.52,99.18,20.34
43,Central Florida,AAC,,20,6,73.7,64.0,9.69,,3.46,,2.87,10.29,13.15,110.58,91.44,19.14
44,Virginia Commonwealth,A-10,,21,6,71.5,61.7,9.78,,3.13,,1.22,11.69,12.91,103.70,84.80,18.90
45,Minnesota,Big Ten,,17,11,71.8,69.4,2.43,,9.99,,5.80,6.62,12.42,111.31,93.51,17.80
46,Creighton,Big East,,15,13,79.5,74.7,4.82,,9.27,,10.37,2.04,12.41,115.66,98.00,17.66
47,Saint Mary's (CA),WCC,,19,10,74.4,65.4,8.93,,3.42,,3.61,8.74,12.35,116.37,97.23,19.14
48,Penn State,Big Ten,,11,16,69.8,69.5,0.30,,11.88,,4.81,7.37,12.17,109.84,91.72,18.12
49,Utah State,MWC,,22,6,78.6,65.9,12.71,,-0.07,,6.16,5.96,12.12,110.93,93.70,17.23
50,Butler,Big East,,15,12,73.3,69.6,3.67,,8.18,,4.84,7.01,11.85,113.95,96.68,17.26
51,Arizona State,Pac-12,,19,8,79.1,73.1,6.00,,5.31,,8.74,2.57,11.31,110.01,93.86,16.15
52,Illinois,Big Ten,,10,17,73.9,74.7,-0.85,,11.88,,9.22,1.81,11.02,110.93,95.06,15.87
53,Miami (FL),ACC,,12,14,72.5,70.1,2.35,,8.58,,4.34,6.58,10.92,111.04,95.76,15.28
54,St. John's (NY),Big East,,20,8,78.5,73.3,5.25,,5.57,,9.32,1.50,10.82,110.86,95.73,15.13
55,Arkansas,SEC,,14,13,76.3,73.9,2.33,,8.39,,8.36,2.37,10.72,109.11,94.09,15.02
56,Northwestern,Big Ten,,12,15,66.2,64.6,1.59,,9.06,,0.19,10.46,10.65,105.66,90.20,15.46
57,Alabama,SEC,,16,11,73.5,71.8,1.70,,8.80,,5.97,4.54,10.51,110.42,95.66,14.76
58,San Francisco,WCC,,21,7,76.0,66.0,10.00,,1.38,,3.52,6.98,10.50,111.50,95.81,15.70
59,Seton Hall,Big East,,16,11,73.7,71.6,2.15,,8.30,,6.21,4.24,10.45,109.52,94.29,15.24
60,Arizona,Pac-12,,16,12,72.1,68.2,3.89,,6.21,,2.12,7.98,10.10,107.34,93.03,14.31
61,Dayton,A-10,,18,9,73.6,67.2,6.41,,3.55,,4.00,5.96,9.96,113.10,98.31,14.79
62,Fresno State,MWC,,19,8,75.7,67.1,8.59,,1.88,,3.60,6.12,9.72,109.15,95.05,14.10
63,Oregon,Pac-12,,15,12,70.0,65.5,4.52,,5.17,,-0.39,10.08,9.69,108.44,93.71,14.72
64,New Mexico State,WAC,,24,4,77.2,65.3,11.93,,-0.71,,3.50,6.14,9.63,112.42,97.99,14.42
65,Memphis,AAC,,17,11,82.3,76.8,5.54,,4.02,,13.12,-3.56,9.55,110.56,97.41,13.15
